,response_me,essentiality_me,response_m,essentiality_m,true_essentiality
BSU03800,0.0,0,0.0,0,0
BSU03330,0.0,0,-5.61076240986357e-10,0,0
BSU03820,0.0,0,0.0,0,0
BSU03810,0.0,0,0.0,0,0
BSU03130,-1.0,e,-1.0,e,e
BSU03830,0.0,0,0.0,0,0
BSU03150,-1.0,e,-0.999999999999961,e,e
BSU03860,0.0,0,0.0,0,0
BSU03900,0.0,0,6.264465396683538e-11,0,0
BSU03910,0.0,0,-4.35451653695001e-10,0,0
BSU03930,0.0,0,-3.8807115128571715e-11,0,0
BSU03950,0.0,0,0.0,0,0
BSU03981,0.0,0,-1.9094547638379924e-10,0,0
BSU04000,0.0,0,-3.6437948837851656e-10,0,0
BSU03990,0.0,0,-2.6902392149898693e-10,0,0
BSU04030,0.0,0,0.0,0,0
BSU04340,0.0,0,-3.40755840241816e-07,0,0
BSU04360,0.0,0,0.0,0,0
BSU04470,0.0,0,0.0,0,0
BSU04520,0.0,0,0.0,0,0
BSU04620,0.0,0,-2.7521082560425924e-10,0,e
BSU05340,0.0,0,0.0,0,0
BSU05740,0.0,0,0.0,0,0
BSU05810,0.0,0,0.0,0,0
BSU05820,0.0,0,0.0,0,0
BSU05830,0.0,0,0.0,0,0
BSU05860,0.0,0,0.0,0,0
BSU05900,0.0,0,-2.924824182002464e-10,0,0
BSU04570,-1.0,e,-1.0,e,e
BSU04640,-1.0,e,-1.0,e,0
BSU04560,-1.0,e,-1.0,e,0
BSU05980,0.0,0,,,0
BSU04730,-1.0,e,,,0
BSU04740,-1.0,e,-1.0,e,0
BSU05990,0.0,0,,,0
BSU06150,0.0,0,0.0,0,0
BSU06170,0.0,0,0.0,0,0
BSU06160,0.0,0,-4.831917873311073e-10,0,0
BSU06230,0.0,0,0.0,0,0
BSU06240,0.0,0,-1.1109440342243555e-10,0,0
BSU06310,0.0,0,-3.015210791159218e-10,0.0,0
BSU06370,0.0,0,0.0,0,0
BSU06020,-1.0,e,,,e
BSU06420,0.0,0,-0.9999999833092441,e,0
BSU06430,0.0,0,-0.9999999833092441,e,0
BSU06470,0.0,0,-0.9999999963147317,e,0
BSU06480,0.0,0,-0.9999999963147317,e,0
BSU06030,-1.0,e,,,e
BSU06510,-0.0003469129436032066,0,-0.0006752543731877106,0,0
BSU06360,-1.0,e,-1.0,e,0
BSU06660,0.0,0,0.0,0,0
BSU06450,-1.0,e,-0.9999999992910558,e,0
BSU06440,-1.0,e,-1.0,e,0
BSU06520,-1.0,e,-0.999999999999756,e,0
BSU06490,-1.0,e,-0.9999999999998741,e,0
BSU06670,-1.0,e,,,e
BSU06500,-1.0,e,-1.0,e,0
BSU06970,0.0,0,-5.332189967541467e-10,0,0
BSU06530,-1.0,e,-0.9999999905868471,e,0
BSU06980,0.0,0,-5.332189967541467e-10,0,0
BSU06680,-1.0,e,,,e
BSU06990,0.0,0,-5.332189967541467e-10,0,0
BSU06690,-1.0,e,,,e
BSU07500,0.0,0,0.0,0,0
BSU07490,0.0,0,0.0,0,0
BSU06730,-1.0,e,,,0
BSU07510,0.0,0,0.0,0,0
BSU07520,0.0,0,0.0,0,0
BSU07570,0.0,0,0.0,0,0
BSU07610,0.0,0,-1.9466201865327053e-10,0,0
BSU07700,0.0,0,-1.021307980261297e-10,0,0
BSU07800,0.0,0,-1.6597892842423538e-10,0,0
BSU07810,0.0,0,-1.9094547638379924e-10,0,0
BSU07830,0.0,0,0.0,0,0
BSU07840,0.0,0,-2.9606060061953983e-06,0.0,0
BSU07920,0.0,0,-2.9728199808540402e-06,0,0
BSU07990,0.0,0,0.0,0,0
BSU08000,0.0,0,0.0,0,0
BSU08030,0.0,0,,,0
BSU08060,-0.00023440063756973418,0,0.0,0,0
BSU08070,-0.00023440063756973418,0,0.0,0,0
BSU08180,0.0,0,-2.069073619309758e-10,0,0
BSU08200,0.0,0,-3.200879088094931e-10,0,0
BSU08440,0.0,0,-4.113178926031754e-10,0,0
BSU08450,0.0,0,-4.113178926031754e-10,0,0
BSU08650,0.0,0,0.0,0,0
BSU08460,0.0,0,-4.113178926031754e-10,0,0
BSU08710,0.0,0,0.0,0,0
BSU08790,0.0,0,-1.1620911943439436e-10,0,0
BSU08820,0.0,0,0.0,0,0
BSU08830,0.0,0,-1.5382958092052e-10,0,0
BSU08840,0.0,0,-1.5382958092052e-10,0,0
BSU08860,0.0,0,-2.0661255137997255e-10,0,0
BSU08850,0.0,0,-1.5382958092052e-10,0,0
BSU09240,0.0,0,-1.6419618337638885e-10,0,0
BSU09130,0.0,0,0.0,0,0
BSU09280,0.0,0,-5.360133443271636e-10,0,0
BSU09290,0.0,0,3.791833072600602e-12,0,0
BSU09300,0.0,0,0.0,0,0
BSU09310,0.0,0,-1.5640629101574124e-10,0,0
BSU09410,0.0,0,0.0,0,0
BSU09440,0.0,0,0.0,0,0
BSU09520,0.0,0,,,0
BSU09530,0.0,0,0.0,0,0
BSU09680,0.0,0,0.0,0,0
BSU09840,0.0,0,0.0,0,0
BSU09850,0.0,0,0.0,0,0
BSU10010,0.0,0,-4.833880139867631e-10,0,0
BSU10120,0.0,0,-3.088659322449472e-10,0,0
