,response,essentiality,response_me,essentiality_me
BSU07840,-2.9606060061953983e-06,0.0,-9.3694368968425e-06,0.0
BSU16730,-1.6845470178651136e-10,0.0,0.0,0.0
BSU16740,-1.6845470178651136e-10,0.0,0.0,0.0
BSU30820,-1.0,e,e,e
BSU06310,-3.015210791159218e-10,0,0.0,0.0
BSU03040,-2.3118499904190636e-10,0,0.0,0.0
BSU38560,0.0,0,0.0,0.0
BSU40110,0.0,0,0.0,0.0
BSU03900,6.264465396683538e-11,0,0.0,0.0
BSU39860,0.0,0,0.0,0.0
BSU38830,0.0,0,0.0,0.0
BSU19310,0.0,0,0.0,0.0
BSU32830,-0.0009092498653858589,0,-0.0007964021362316125,0.0
BSU24170,-0.00082955738714317,0,-0.000730816077953715,0.0
BSU22440,-1.0,e,-9.3694368968425e-06,0.0
BSU24350,-1.0,e,0.0,0.0
BSU29210,-1.0,e,0.0,0.0
BSU24340,-1.0,e,0.0,0.0
BSU29200,-1.0,e,0.0,0.0
BSU13900,-0.01336478034198814,-,-0.013660638995596365,-
BSU07700,-1.021307980261297e-10,0,0.0,0
BSU13910,-0.01336478034198814,-,-0.013660638995596365,-
BSU11210,-1.0,e,e,e
BSU11200,-1.0,e,e,e
BSU28300,0.0,0,-1.8738873793685e-05,0
BSU36010,0.0,0,0.0,0
BSU28310,0.0,0,-1.8738873793685e-05,0
BSU29470,-0.0015819159855061501,0,-0.0014335238452169025,0
BSU36000,-9.532122761147827e-05,0,-0.000243605359317905,0
BSU18260,0.0,0,0.0,0
BSU32820,0.0,0,-9.3694368968425e-06,0
BSU37170,0.0,0,0.0,0
BSU24150,0.0,0,0.0,0
BSU04520,0.0,0,0.0,0
BSU15350,-5.097167372735683e-10,0,0.0,0
BSU18000,-0.15208314442876789,-,-0.1539866953996065,-
BSU11220,-1.0,e,e,e
BSU04620,-2.7521082560425924e-10,0,0.0,0
BSU19230,-5.80128225792593e-10,0,0.0,0
BSU29680,-1.302820293161841e-10,0,0.0,0
BSU08090,0.0,0,e,e
BSU29690,0.0,0,e,e
BSU29710,0.0,0,e,e
BSU29700,0.0,0,e,e
BSU08060,0.0,0,-0.000243605359317905,0
BSU08080,0.0,0,e,e
BSU08070,0.0,0,-0.000243605359317905,0
BSU30420,-1.5418838865418317e-10,0,0.0,0
BSU00760,-1.0,e,e,e
BSU00750,-1.0,e,e,e
BSU30430,-1.5418838865418317e-10,0,0.0,0
BSU30440,-1.5418838865418317e-10,0,0.0,0
BSU00740,-1.0,e,e,e
BSU14520,-3.821999979860684e-10,0,0.0,0
BSU00140,-2.1507782577306617e-10,0,0.0,0
BSU30410,-1.5418838865418317e-10,0,0.0,0
BSU30450,-1.5418838865418317e-10,0,0.0,0
BSU01370,-1.0,e,e,e
BSU29010,-3.4500622359830225e-10,0,-9.3694368968425e-06,0
BSU38710,-2.8625033961309644e-10,0,0.0,0
BSU14190,-1.0,e,e,e
BSU23610,-5.121403952830532e-10,0,0.0,0
BSU27610,-3.0459494379555636e-10,0,0.0,0
BSU15600,-3.375380817791526e-12,0,0.0,0
BSU06440,-1.0,e,e,e
BSU40420,-1.0,e,e,e
BSU35010,-3.1834069160937323e-10,0,0.0,0
BSU37490,-3.506399755843338e-10,0,0.0,0
BSU09540,-1.0,e,e,e
BSU11190,-1.0,e,e,e
BSU27270,-2.167311647530342e-10,0,0.0,0
BSU08790,-1.1620911943439436e-10,0,0.0,0
BSU00730,-3.45635019446312e-10,0,0.0,0
BSU06520,-0.999999999999756,e,e,e
BSU06420,-0.9999999833092441,e,0.0,0
BSU06430,-0.9999999833092441,e,0.0,0
BSU19360,-0.06135332804854622,-,-0.06353415159748899,-
BSU19370,-0.06135332804854622,-,-0.06353415159748899,-
BSU14610,-0.09963849506874509,-,-0.06356225990817951,-
BSU18540,0.0,0,0.0,0
BSU07570,0.0,0,0.0,0
BSU09410,0.0,0,0.0,0
BSU05740,0.0,0,0.0,0
BSU04560,-1.0,e,e,e
BSU31930,0.0,0,0.0,0
BSU04640,-1.0,e,e,e
BSU31400,-1.0,e,e,e
BSU18120,0.0,0,0.0,0
BSU02420,0.0,0,0.0,0
BSU27810,0.0,0,0.0,0
BSU39780,0.0,0,0.0,0
BSU09530,0.0,0,0.0,0
BSU27010,0.0,0,0.0,0
BSU26970,0.0,0,0.0,0
BSU32410,-3.4396038728608395e-10,0,0.0,0
BSU12390,-1.435703855009903e-10,0,0.0,0
BSU35620,-4.020005380740416e-10,0,0.0,0
BSU25710,-4.020005380740416e-10,0,0.0,0
BSU25900,-4.020005380740416e-10,0,0.0,0
BSU17410,-4.020005380740416e-10,0,0.0,0
BSU01530,-4.020005380740416e-10,0,0.0,0
BSU30230,-1.0721022147412164e-10,0,0.0,0
BSU22750,-1.0,e,e,e
BSU22670,-1.0,e,e,e
BSU22680,-1.0,e,0.0,0
BSU25790,0.0,0,0.0,0
BSU30220,-2.717547424568635e-10,0,0.0,0
BSU14180,-1.0,e,e,e
BSU23280,-2.419128797109161e-10,0,e,e
BSU15570,-1.0,e,e,e
BSU14000,-1.0,e,e,e
BSU33400,0.0,0,0.0,0
BSU29050,0.0,0,0.0,0
BSU28800,-4.9467939926044384e-11,0,0.0,0
BSU39270,-5.851671804339029e-11,0,0.0,0
BSU28730,0.0,0,0.0,0
BSU28740,0.0,0,0.0,0
BSU28750,0.0,0,0.0,0
BSU33960,-2.1320684931530247e-10,0,0.0,0
BSU23970,-2.152557002954592e-10,0,0.0,0
BSU14630,0.0,0,0.0,0
BSU40320,3.6386633449843823e-13,0,0.0,0
BSU29450,-1.0,e,e,e
BSU23960,-2.152557002954592e-10,0,0.0,0
BSU40330,0.0,0,0.0,0
BSU29440,-1.0,e,e,e
BSU23980,-2.152557002954592e-10,0,0.0,0
BSU37760,0.0,0,0.0,0
BSU33820,0.0,0,0.0,0
BSU33800,0.0,0,0.0,0
BSU02990,0.0,0,0.0,0
BSU33810,0.0,0,0.0,0
BSU33330,-1.4589381262880931e-10,0,0.0,0
BSU33830,0.0,0,0.0,0
BSU02980,0.0,0,0.0,0
BSU30070,-2.8294789676083645e-10,0,0.0,0
BSU36030,0.0,0,0.0,0
BSU03000,0.0,0,0.0,0
BSU05340,0.0,0,0.0,0
BSU16750,-1.0,e,e,e
BSU23580,-7.039407752080099e-11,0,0.0,0
BSU30540,0.0,0,0.0,0
BSU39920,0.0,0,0.0,0
BSU10790,0.0,0,-9.3694368968425e-06,0
BSU22410,-3.5056986102391963e-10,0,0.0,0
BSU15490,-1.0,e,e,e
BSU28470,0.0,0,0.0,0
BSU03790,0.0,0,0.0,0
BSU16760,0.0,0,-9.3694368968425e-06,0
BSU27870,-1.0,e,e,e
BSU23570,-2.830300107929994e-10,0,0.0,0
BSU22370,-1.0,e,e,e
BSU34920,-1.0,e,e,e
BSU36860,-1.0,e,e,e
BSU36840,-1.0,e,e,e
BSU36870,-1.0,e,e,e
BSU36850,-1.0,e,e,e
BSU36820,-1.0,e,e,e
BSU36800,-1.0,e,e,e
BSU36880,-1.0,e,e,e
BSU36830,-1.0,e,e,e
BSU36810,-1.0,e,e,e
BSU31060,-1.5574467308324229e-10,0,0.0,0
