,response,essentiality,response_me,essentiality_me
BSU39260,-2.4504415362793677e-10,0,0.0,0
BSU19350,0.0,0,0.0,0
BSU18800,0.0,0,0.0,0
BSU02090,0.0,0,0.0,0
BSU06240,-1.1109440342243555e-10,0,0.0,0
BSU30200,-1.0105955106785528e-10,0,0.0,0
BSU24070,-4.16602248205935e-10,0,-1.8738873793685e-05,0
BSU08830,-1.5382958092052e-10,0,0.0,0
BSU08840,-1.5382958092052e-10,0,0.0,0
BSU08850,-1.5382958092052e-10,0,0.0,0
BSU15650,0.0,0,0.0,0
BSU08820,0.0,0,0.0,0
BSU39050,0.0,0,0.0,0
BSU38630,0.0,0,0.0,0
BSU07920,-2.9728199808540402e-06,0,0.0,0
BSU33170,0.0,0,0.0,0
BSU33160,0.0,0,0.0,0
BSU33180,0.0,0,0.0,0
BSU11240,0.0,0,0.0,0
BSU15510,0.0,0,-9.3694368968425e-06,0
BSU11230,0.0,0,0.0,0
BSU15520,0.0,0,-9.3694368968425e-06,0
BSU13850,0.0,0,0.0,0
BSU26650,-1.920649565128284e-10,0,0.0,0
BSU16920,-1.0,e,e,e
BSU02270,-1.0,e,e,e
BSU33490,0.0,0,0.0,0
BSU00460,-1.0,e,e,e
BSU38570,0.0,0,0.0,0
BSU05830,0.0,0,0.0,0
BSU38580,0.0,0,0.0,0
BSU05810,0.0,0,0.0,0
BSU38390,0.0,0,0.0,0
BSU38590,0.0,0,0.0,0
BSU33700,0.0,0,0.0,0
BSU05820,0.0,0,0.0,0
BSU30240,-2.1160997843768146e-10,0,0.0,0
BSU33710,0.0,0,0.0,0
BSU33730,0.0,0,0.0,0
BSU27910,0.0,0,0.0,0
BSU33720,0.0,0,0.0,0
BSU22710,-1.0,e,e,e
BSU07610,-1.9466201865327053e-10,0,0.0,0
BSU31050,-3.889939341915709e-10,0,0.0,0
BSU39060,0.0,0,0.0,0
BSU26860,0.0,0,0.0,0
BSU29750,-1.0,e,e,e
BSU22690,0.0,0,0.0,0
BSU36590,0.0,0,0.0,0
BSU38770,0.0,0,0.0,0
BSU37190,0.0,0,0.0,0
BSU37240,0.0,0,0.0,0
BSU09840,0.0,0,0.0,0
BSU25500,0.0,0,0.0,0
BSU36120,0.0,0,0.0,0
BSU36130,0.0,0,0.0,0
BSU29140,0.0,0,-3.747774758737e-05,0
BSU09440,0.0,0,0.0,0
BSU37150,-1.0,e,e,e
BSU14920,-0.34122513177459696,-,-0.3430150847934039,-
BSU14890,-0.34122513177459696,-,-0.3430150847934039,-
BSU14910,-0.34122513177459696,-,-0.3430150847934039,-
BSU14900,-0.34122513177459696,-,-0.3430150847934039,-
BSU22550,-0.34122513172011454,-,-0.3430150847934039,-
BSU22540,-0.34122513172011454,-,-0.3430150847934039,-
BSU22560,-0.34122513172011454,-,-0.3430150847934039,-
BSU27250,-0.00021136775852031075,0,-9.3694368968425e-05,0
BSU11880,6.393836171998098e-12,0,0.0,0
BSU27260,-0.00021136764463332438,0,-9.3694368968425e-05,0
BSU30720,0.0,0,e,e
BSU38750,0.0,0,0.0,0
BSU30710,0.0,0,e,e
BSU38760,0.0,0,0.0,0
BSU38160,0.0,0,0.0,0
BSU38150,0.0,0,0.0,0
BSU38170,0.0,0,0.0,0
BSU38140,0.0,0,0.0,0
BSU25300,-2.892013861701263e-10,0,0.0,0
BSU27330,-4.940520069977031e-07,0,0.0,0
BSU39410,0.0,0,0.0,0
BSU39020,0.0,0,0.0,0
BSU32180,0.0,0,0.0,0
BSU22890,-0.0019944055372108156,0,-0.00397264124426122,0
BSU20250,-2.960762623065379e-06,0,-9.3694368968425e-06,0
BSU33500,0.0,0,0.0,0
BSU03950,0.0,0,0.0,0
BSU02460,0.0,0,0.0,0
BSU12920,-3.838885118881234e-10,0,0.0,0
BSU25310,0.0,0,0.0,0
BSU11670,-1.6863634084906086e-10,0,-0.002005059495924295,0
BSU23380,-1.0,e,e,e
BSU32170,-1.0,e,e,e
BSU23260,0.0,0,e,e
BSU30210,-3.118888579905896e-10,0,0.0,0
BSU25580,-2.490462127399e-10,0,0.0,0
BSU22090,1.2721487022370324e-10,0,0.0,0
BSU22110,-1.1680144629963834e-10,0,0.0,0
BSU15680,-1.0,e,e,e
BSU00150,-9.729446512423971e-05,0,-0.000243605359317905,0
BSU21870,-1.0,e,e,e
BSU32000,-4.041023279001487e-10,0,0.0,0
BSU16770,-1.0,e,e,e
BSU31980,-3.366308276014442e-10,0,0.0,0
BSU22490,-1.0,e,e,e
BSU21810,-1.0,e,e,e
BSU38490,-1.0,e,e,e
BSU00780,-1.0,e,e,e
BSU28080,-1.0,e,e,e
BSU15540,-0.9999999990083207,e,e,e
BSU15500,-1.0,e,e,e
BSU00770,-1.0,e,e,e
BSU23080,-1.0,e,e,e
BSU22700,-1.0,e,e,e
BSU15530,-0.9999999990083207,e,e,e
BSU12950,-5.364363845272465e-10,0,0.0,0
BSU12930,-5.364363845272465e-10,0,0.0,0
BSU12960,-5.364363845272465e-10,0,0.0,0
BSU12940,-5.364363845272465e-10,0,0.0,0
BSU13590,-2.831604756377969e-10,0,0.0,0
BSU24280,-1.0,e,e,e
BSU25160,-1.0,e,e,e
BSU22130,-2.747980202477268e-10,0,0.0,0
BSU22140,0.0,0,0.0,0
BSU29060,-2.7086984023633416e-10,0,0.0,0
BSU13620,-6.610556043130663e-11,0,0.0,0
BSU35950,-4.816199741739027e-10,0,0.0,0
BSU15110,-5.02340944330132e-10,0,0.0,0
BSU35930,-4.816199741739027e-10,0,0.0,0
BSU35940,-4.816199741739027e-10,0,0.0,0
BSU35960,-4.816199741739027e-10,0,0.0,0
BSU35920,-5.081224545173048e-10,0,0.0,0
BSU39420,-9.532131913627262e-05,0,-0.000243605359317905,0
BSU00280,-1.0,e,e,e
BSU37060,-3.2361481236858237e-10,0,0.0,0
BSU39400,-2.9602335327103995e-06,0,-9.3694368968425e-06,0
BSU20020,0.0,0,0.0,0
BSU17660,0.0,0,0.0,0
BSU16550,-1.0,e,e,e
BSU24270,-1.0,e,e,e
BSU18220,0.0,0,0.0,0
BSU28540,0.0,0,-9.3694368968425e-06,0
BSU22100,-4.4537098172352975e-11,0,0.0,0
BSU33900,-0.11002793260405525,-,e,e
BSU39450,-2.5861037993304215e-10,0,0.0,0
BSU14390,-3.816540220215009e-10,0,0.0,0
BSU28560,0.0,0,0.0,0
BSU10360,0.0,0,0.0,0
BSU18250,0.0,0,0.0,0
BSU10270,0.0,0,0.0,0
BSU37120,0.0,0,-0.0002904525438021175,0
BSU39670,-5.747796377234137e-10,0,0.0,0
BSU40190,-3.45252565694791e-10,0,0.0,0
BSU10130,-3.1834069160937323e-10,0,0.0,0
BSU27220,0.0,0,0.0,0
BSU12160,0.0,0,0.0,0
BSU18570,0.0,0,0.0,0
BSU36710,0.0,0,0.0,0
BSU08860,-2.0661255137997255e-10,0,0.0,0
BSU01630,0.0,0,0.0,0
BSU01610,0.0,0,0.0,0
BSU01620,0.0,0,0.0,0
BSU38270,-6.398963129118227e-06,0,0.0,0
BSU38260,-6.398963129118227e-06,0,0.0,0
BSU38280,-6.398963129118227e-06,0,0.0,0
BSU08450,-4.113178926031754e-10,0,0.0,0
BSU08440,-4.113178926031754e-10,0,0.0,0
BSU08460,-4.113178926031754e-10,0,0.0,0
BSU33290,0.0,0,0.0,0
BSU03810,0.0,0,0.0,0
BSU03820,0.0,0,0.0,0
BSU33300,0.0,0,0.0,0
BSU03830,0.0,0,0.0,0
BSU07500,0.0,0,0.0,0
BSU07520,0.0,0,0.0,0
BSU03800,0.0,0,0.0,0
BSU07490,0.0,0,0.0,0
BSU33310,0.0,0,0.0,0
BSU33320,0.0,0,e,e
BSU38040,-1.9275316151018237e-10,0,0.0,0
BSU39380,-4.13324274864692e-10,0,0.0,0
BSU07830,0.0,0,0.0,0
BSU03860,0.0,0,0.0,0
BSU15730,-5.613110541786166e-10,0,e,e
BSU16670,-4.321394465667102e-10,0,e,e
BSU39610,0.0,0,0.0,0
BSU38110,-2.0409701506229387e-10,0,0.0,0
BSU07510,0.0,0,0.0,0
BSU27200,2.68192899259447e-11,0,0.0,0
BSU15720,-5.667691668379731e-11,0,e,e
BSU06170,0.0,0,0.0,0
BSU27040,0.0,0,0.0,0
BSU14400,0.0,0,0.0,0
BSU27060,0.0,0,0.0,0
BSU27050,0.0,0,0.0,0
BSU05860,0.0,0,0.0,0
BSU13110,-4.1960159191678514e-05,0,0.0,0
BSU27070,0.0,0,0.0,0
BSU04470,0.0,0,0.0,0
BSU00500,-1.0,e,e,e
BSU33040,-0.13552338762256164,-,-0.13940785158811955,-
BSU34550,-1.2365526222200466e-10,0,0.0,0
BSU28120,0.0,0,0.0,0
BSU08710,0.0,0,0.0,0
BSU03930,-3.8807115128571715e-11,0,0.0,0
BSU35740,-1.0,e,e,e
BSU22830,-1.0,e,e,e
BSU09300,0.0,0,0.0,0
BSU13130,-5.235331878571987e-10,0,-9.3694368968425e-06,0
BSU35020,0.0,0,0.0,0
BSU02360,0.0,0,0.0,0
BSU23850,-1.9037585440137395e-10,0,0.0,0
BSU31350,-0.01313449509840794,-,-0.013473250257659514,-
BSU02510,-3.892972149579262e-10,0,0.0,0
BSU02480,-4.895911526714601e-10,0,0.0,0
BSU38200,-7.754470390612869e-11,0,0.0,0
BSU30300,-2.4178370892679737e-10,0,0.0,0
BSU38190,-1.1343124172456196e-10,0,0.0,0
BSU35670,-1.0,e,e,e
BSU12360,-1.1250210615719413e-10,0,0.0,0
BSU02350,-1.4916625680169745e-10,0,0.0,0
BSU33940,-0.44636329977189554,-,-0.4571160873231519,-
BSU29020,-5.56485854833066e-10,0,-9.3694368968425e-05,0
BSU06510,-0.0006752543731877106,0,-0.0003466691651831725,0
BSU02230,6.720527672451433e-12,0,-0.0005153190293263375,0
BSU30980,-8.177898808899397e-11,0,0.0,0
BSU01780,-1.0,e,e,e
BSU18410,0.0,0,0.0,0
BSU36900,-0.9999999986152125,e,e,e
BSU40070,0.0,0,0.0,0
BSU19520,0.0,0,0.0,0
BSU30940,-2.672589403750037e-10,0,0.0,0
BSU02490,-7.575937073692459e-11,0,0.0,0
BSU30950,-1.2028846926144506e-10,0,0.0,0
BSU13890,-0.013364780689870355,-,-0.013660638995596365,-
BSU10520,-5.392360259848585e-10,0,0.0,0
BSU30960,0.0,0,0.0,0
BSU30970,0.0,0,0.0,0
BSU17460,-1.0,e,e,e
BSU03590,0.0,0,e,e
BSU27450,0.0,0,0.0,0
BSU27430,0.0,0,0.0,0
BSU27460,0.0,0,0.0,0
BSU27440,0.0,0,0.0,0
BSU03600,0.0,0,e,e
BSU03610,0.0,0,e,e
BSU12330,-2.9873237835313956e-10,0,0.0,0
BSU18470,0.0,0,0.0,0
BSU13120,0.0,0,-9.3694368968425e-06,0
BSU22960,0.0,0,0.0,0
BSU37790,0.0,0,0.0,0
BSU02430,0.0,0,0.0,0
BSU06490,-0.9999999999998741,e,e,e
BSU14830,0.0,0,0.0,0
BSU28390,0.0,0,0.0,0
BSU26810,0.0,0,0.0,0
BSU18450,0.0,0,0.0,0
BSU00920,-4.0521874934030065e-10,0,e,e
BSU10220,0.0,0,0.0,0
BSU18440,0.0,0,0.0,0
BSU09130,0.0,0,0.0,0
BSU28170,-4.427353330464838e-10,0,e,e
BSU04340,-3.40755840241816e-07,0,0.0,0
BSU02140,1.1669650974277685e-10,0,0.0,0
BSU02340,0.0,0,0.0,0
BSU17000,-5.412855828162946e-11,0,0.0,0
BSU40040,-3.408833841563777e-07,0,0.0,0
BSU03060,0.0,0,0.0,0
BSU28680,-5.105394272093319e-06,0,-9.3694368968425e-06,0
BSU09290,3.791833072600602e-12,0,0.0,0
BSU32130,0.0,0,0.0,0
BSU34190,0.0,0,0.0,0
BSU40060,-2.0380279272069007e-10,0,0.0,0
BSU09280,-5.360133443271636e-10,0,0.0,0
BSU22780,-1.0,e,e,e
BSU27600,5.3476351699521686e-11,0,0.0,0
BSU06360,-1.0,e,e,e
BSU02130,-5.346172881385141e-10,0,0.0,0
BSU13170,0.0,0,0.0,0
BSU21900,-1.8688894908144712e-10,0,0.0,0
BSU00680,-9.729472996234547e-05,0,-0.000243605359317905,0
BSU06370,0.0,0,0.0,0
BSU29990,0.0,0,0.0,0
BSU12300,-2.2041523786365595e-10,0,0.0,0
BSU32840,-0.0009092503495367804,0,-0.0007964021362316125,0
BSU24160,0.0,0,0.0,0
BSU14870,-3.7793606804947095e-10,0,0.0,0
BSU14880,0.0,0,0.0,0
BSU12080,0.0,0,0.0,0
BSU38300,-4.717073517325277e-10,0,0.0,0
BSU24850,-4.5384319698753683e-10,0,0.0,0
BSU22740,-1.0,e,e,e
BSU22760,-1.0,e,e,e
BSU33510,-2.152557002954592e-10,0,0.0,0
BSU07990,0.0,0,0.0,0
BSU39350,-2.457551811499893e-10,0,0.0,0
BSU34910,-1.0,e,e,e
BSU29620,-1.0,e,e,e
BSU39390,0.0,0,0.0,0
BSU02400,0.0,0,0.0,0
BSU13600,-3.8004068128069535e-10,0,0.0,0
BSU28150,-2.155410994960713e-11,0,0.0,0
BSU18230,0.0,0,0.0,0
BSU17150,-4.701807130572008e-10,0,0.0,0
BSU38020,0.0,0,0.0,0
BSU11710,0.0,0,0.0,0
BSU13960,-3.4074897595576627e-07,0,0.0,0
BSU37780,0.0,0,0.0,0
BSU00790,-1.0,e,e,e
BSU32260,-1.0,e,e,e
BSU32240,-1.0,e,e,e
BSU21910,-1.0,e,e,e
BSU22620,0.0,0,-9.3694368968425e-06,0
BSU34890,0.0,0,0.0,0
BSU29130,-0.15208314528659883,-,-0.15399606483650333,-
BSU30830,0.0,0,0.0,0
BSU31990,0.0,0,0.0,0
BSU31970,-9.360764382813039e-11,0,0.0,0
BSU34870,-1.0,e,e,e
BSU34900,-1.0,e,e,e
BSU35780,-5.143721793864382e-10,0,0.0,0
BSU22660,-1.0,e,e,e
BSU24080,-0.02419197736941537,-,e,e
BSU02390,0.0,0,0.0,0
BSU38550,0.0,0,-1.8738873793685e-05,0
BSU26700,0.0,0,e,e
BSU26710,0.0,0,e,e
BSU26690,0.0,0,0.0,0
BSU29600,0.0,0,0.0,0
BSU39700,-1.4017394678669856e-10,0,0.0,0
BSU39720,-5.747796377234137e-10,0,0.0,0
BSU39750,-5.747796377234137e-10,0,0.0,0
BSU39740,-5.747796377234137e-10,0,0.0,0
BSU39710,0.0,0,0.0,0
BSU06230,0.0,0,0.0,0
BSU16530,-1.5565585346392565e-10,0,0.0,0
BSU28270,-0.9999999997377986,e,e,e
BSU00090,-3.7192033287943796e-10,0,-9.3694368968425e-06,0
BSU22870,-2.149106566617431e-10,0,0.0,0
BSU39730,-5.747796377234137e-10,0,0.0,0
BSU28260,-1.0,e,e,e
BSU39370,-4.744026448426777e-11,0,0.0,0
BSU04030,0.0,0,-9.3694368968425e-06,0
BSU10170,0.0,0,0.0,0
BSU11720,0.0,0,-9.3694368968425e-06,0
BSU15900,0.0,0,e,e
BSU36370,0.0,0,0.0,0
BSU28250,-1.0,e,e,e
BSU15910,0.0,0,e,e
BSU28280,-1.0,e,e,e
BSU31100,0.0,0,0.0,0
BSU26640,0.0,0,0.0,0
BSU28290,-1.0,e,e,e
BSU14510,0.0,0,e,e
BSU13500,0.0,0,e,e
BSU31090,0.0,0,0.0,0
BSU11340,0.0,0,e,e
BSU11330,0.0,0,0.0,0
BSU08650,0.0,0,0.0,0
BSU31630,0.0,0,0.0,0
BSU31620,0.0,0,0.0,0
BSU31600,0.0,0,0.0,0
BSU31660,0.0,0,0.0,0
BSU31610,0.0,0,0.0,0
BSU31650,0.0,0,0.0,0
BSU31322,-0.000654611678330754,0,0.0,0
BSU28720,0.0,0,0.0,0
BSU28510,-3.5397935798687916e-10,0,0.0,0
BSU37710,-2.682383090250844e-10,0,0.0,0
BSU34130,-1.0337203750084454e-10,0,0.0,0
BSU06990,-5.332189967541467e-10,0,0.0,0
BSU06970,-5.332189967541467e-10,0,0.0,0
BSU06980,-5.332189967541467e-10,0,0.0,0
BSU03050,-7.015961725418108e-11,0,0.0,0
BSU38520,-1.0,e,e,e
BSU38510,-1.0,e,e,e
BSU38500,-1.0,e,e,e
BSU38530,-1.0,e,e,e
BSU19690,2.0827577227785128e-10,0,0.0,0
BSU00270,-1.3007027393238288e-10,0,0.0,0
BG12900,-1.0,e,e,e
BSU10870,-1.6413300968688815e-10,0,0.0,0
BSU03990,-2.6902392149898693e-10,0,0.0,0
BSU08180,-2.069073619309758e-10,0,0.0,0
BSU34560,-1.477289083132067e-10,0,0.0,0
BSU34160,0.0,0,e,e
BSU30280,0.0,0,e,e
BSU34610,0.0,0,0.0,0
BSU34140,0.0,0,e,e
BSU30270,0.0,0,e,e
BSU30290,0.0,0,e,e
BSU34590,0.0,0,0.0,0
BSU34150,0.0,0,e,e
BSU34600,0.0,0,0.0,0
BSU08200,-3.200879088094931e-10,0,0.0,0
BSU23560,0.0,0,0.0,0
BSU40850,0.0,0,0.0,0
BSU31580,-5.471497952450299e-10,0,0.0,0
BSU35790,0.0,0,0.0,0
BSU12020,0.0,0,0.0,0
BSU24130,-2.685662945862165e-10,0,0.0,0
BSU24140,-1.3425173691117772e-10,0,0.0,0
BSU00180,-2.9604149342539937e-06,0,-9.3694368968425e-06,0
BSU29120,-0.0633908001153204,-,-0.06552984165651644,-
BSU13610,-2.1091047981985807e-10,0,0.0,0
BSU04000,-3.6437948837851656e-10,0,0.0,0
BSU29220,0.0,0,0.0,0
BSU25070,-1.0,e,e,e
BSU12010,-3.299360635006886e-10,0,0.0,0
BSU00900,-1.0,e,e,e
BSU32750,0.0,0,e,e
BSU32740,0.0,0,e,e
BSU29350,0.0,0,0.0,0
BSU29380,0.0,0,0.0,0
BSU00910,-1.0,e,e,e
BSU30550,-3.765876568221767e-10,0,0.0,0
BSU32730,0.0,0,e,e
BSU29370,0.0,0,0.0,0
BSU29360,0.0,0,0.0,0
BSU21680,-1.6251990422984236e-10,0,0.0,0
BSU00380,-3.0944284802392564e-10,0,e,e
BSU22480,-7.389121768427822e-11,0,0.0,0
BSU24740,0.0,0,0.0,0
BSU29340,0.0,0,0.0,0
BSU13300,0.0,0,0.0,0
BSU13180,-1.0,e,e,e
BSU39760,-3.4808749971636986e-10,0,0.0,0
BSU03981,-1.9094547638379924e-10,0,0.0,0
BSU12340,1.4695000142645785e-11,0,0.0,0
BSU30770,0.0,0,0.0,0
BSU21690,-5.613676399228435e-10,0,0.0,0
BSU30760,0.0,0,0.0,0
BSU14670,-1.7213089289118054e-10,0,0.0,0
BSU24120,-1.3138327495383037e-10,0,0.0,0
BSU08000,0.0,0,0.0,0
BSU30750,0.0,0,0.0,0
BSU30740,0.0,0,0.0,0
BSU04360,0.0,0,0.0,0
BSU33380,0.0,0,0.0,0
BSU33370,0.0,0,0.0,0
BSU33390,0.0,0,0.0,0
BSU22430,-3.6363387414377647e-10,0,0.0,0
BSU34570,-1.5417827145251266e-10,0,0.0,0
BSU24310,-0.9999999989935976,e,e,e
BSU11010,-1.0,e,e,e
BSU13550,-1.5259269419536107e-10,0,0.0,0
BSU13560,-1.577342325559347e-12,0,0.0,0
BSU12290,0.0,0,0.0,0
BSU32100,0.0,0,0.0,0
BSU32200,0.0,0,-2.81083106905275e-05,0
BSU11610,-1.0,e,0.0,0
BSU03130,-1.0,e,e,e
BSU02750,0.0,0,0.0,0
BSU02760,0.0,0,0.0,0
BSU09850,0.0,0,0.0,0
BSU31640,0.0,0,0.0,0
BSU09680,0.0,0,0.0,0
BSU11640,0.0,0,0.0,0
BSU31750,-1.4089367980786292e-10,0,0.0,0
BSU22730,-1.0,e,e,e
BSU36510,-1.0,e,e,e
BSU25640,-1.0,e,e,e
BSU31760,-1.4938765881964962e-10,0,0.0,0
BSU27860,-1.0,e,e,e
BSU38060,-3.200879088094931e-10,0,0.0,0
BSU37320,0.0,0,0.0,0
BSU03330,-5.61076240986357e-10,0,0.0,0
BSU30800,-1.0,e,e,e
BSU37280,0.0,0,e,e
BSU33420,0.0,0,0.0,0
BSU37270,0.0,0,e,e
BSU37260,0.0,0,e,e
BSU03310,0.0,0,0.0,0
BSU03320,0.0,0,0.0,0
BSU03290,-2.30122222298984e-10,0,0.0,0
BSU38990,-2.0425030243178998e-10,0,0.0,0
BSU38980,-2.0425030243178998e-10,0,0.0,0
BSU24040,-1.0,e,e,e
BSU24050,-1.0,e,e,e
BSU24060,-1.0,e,e,e
BSU15550,-1.0,e,e,e
BSU40340,-2.335508948883655e-10,0,0.0,0
BSU15560,-1.0,e,e,e
BSU33240,0.0,0,0.0,0
BSU18670,0.0,0,0.0,0
BSU18480,0.0,0,0.0,0
