Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
BSU18070-MONOMER	Inner_Membrane	BSU18070(1)	Inner_Membrane	y
BSU40022-MONOMER	Inner_Membrane	BSU40022(1)	Inner_Membrane	y
BSU20929-MONOMER	Inner_Membrane	BSU20929(1)	Inner_Membrane	y
BSU02870-MONOMER	Inner_Membrane	BSU02870(1)	Inner_Membrane	y
BSU03550-MONOMER	Inner_Membrane	BSU03550(1)	Inner_Membrane	y
BSU25310-MONOMER	Inner_Membrane	BSU25310(1)	Inner_Membrane	y
BSU28970-MONOMER	Inner_Membrane	BSU28970(1)	Inner_Membrane	y
BSU33250-MONOMER	Inner_Membrane	BSU33250(1)	Inner_Membrane	y
BSU02710-MONOMER	Inner_Membrane	BSU02710(1)	Inner_Membrane	y
BSU03390-MONOMER	Inner_Membrane	BSU03390(1)	Inner_Membrane	y
BSU09940-MONOMER	Inner_Membrane	BSU09940(1)	Inner_Membrane	y
BSU28830-MONOMER	Inner_Membrane	BSU28830(1)	Inner_Membrane	y
BSU06930-MONOMER	Inner_Membrane	BSU06930(1)	Inner_Membrane	y
BSU32469-MONOMER	Inner_Membrane	BSU32469(1)	Inner_Membrane	y
BSU13490-MONOMER	Inner_Membrane	BSU13490(1)	Inner_Membrane	y
BSU39710-MONOMER	Inner_Membrane	BSU39710(1)	Inner_Membrane	y
BSU17760-MONOMER	Inner_Membrane	BSU17760(1)	Inner_Membrane	y
BSU40360-MONOMER	Inner_Membrane	BSU40360(1)	Inner_Membrane	y
BSU02560-MONOMER	Inner_Membrane	BSU02560(1)	Inner_Membrane	y
BSU22030-MONOMER	Inner_Membrane	BSU22030(1)	Inner_Membrane	y
BSU25000-MONOMER	Inner_Membrane	BSU25000(1)	Inner_Membrane	y
BSU03240-MONOMER	Inner_Membrane	BSU03240(1)	Inner_Membrane	y
BSU16920-MONOMER	Inner_Membrane	BSU16920(1)	Inner_Membrane	y
BSU36580-MONOMER	Inner_Membrane	BSU36580(1)	Inner_Membrane	y
BSU13980-MONOMER	Inner_Membrane	BSU13980(1)	Inner_Membrane	y
BSU02400-MONOMER	Inner_Membrane	BSU02400(1)	Inner_Membrane	y
BSU24840-MONOMER	Inner_Membrane	BSU24840(1)	Inner_Membrane	y
BSU06630-MONOMER	Inner_Membrane	BSU06630(1)	Inner_Membrane	y
BSU39390-MONOMER	Inner_Membrane	BSU39390(1)	Inner_Membrane	y
BSU24680-MONOMER	Inner_Membrane	BSU24680(1)	Inner_Membrane	y
BSU40070-MONOMER	Inner_Membrane	BSU40070(1)	Inner_Membrane	y
BSU21720-MONOMER	Inner_Membrane	BSU21720(1)	Inner_Membrane	y
BSU02920-MONOMER	Inner_Membrane	BSU02920(1)	Inner_Membrane	y
BSU35600-MONOMER	Inner_Membrane	BSU35600(1)	Inner_Membrane	y
BSU39240-MONOMER	Inner_Membrane	BSU39240(1)	Inner_Membrane	y
BSU13690-MONOMER	Inner_Membrane	BSU13690(1)	Inner_Membrane	y
BSU17300-MONOMER	Inner_Membrane	BSU17300(1)	Inner_Membrane	y
BSU28180-MONOMER	Inner_Membrane	BSU28180(1)	Inner_Membrane	y
BSU02760-MONOMER	Inner_Membrane	BSU02760(1)	Inner_Membrane	y
BSU12860-MONOMER	Inner_Membrane	BSU12860(1)	Inner_Membrane	y
BSU06320-MONOMER	Inner_Membrane	BSU06320(1)	Inner_Membrane	y
BSU24360-MONOMER	Inner_Membrane	BSU24360(1)	Inner_Membrane	y
BSU09120-MONOMER	Inner_Membrane	BSU09120(1)	Inner_Membrane	y
BSU31660-MONOMER	Inner_Membrane	BSU31660(1)	Inner_Membrane	y
BSU13380-MONOMER	Inner_Membrane	BSU13380(1)	Inner_Membrane	y
BSU01740-MONOMER	Inner_Membrane	BSU01740(1)	Inner_Membrane	y
BSU39600-MONOMER	Inner_Membrane	BSU39600(1)	Inner_Membrane	y
BSU05340-MONOMER	Inner_Membrane	BSU05340(2)	Inner_Membrane	y
BSU06010-MONOMER	Inner_Membrane	BSU06010(1)	Inner_Membrane	y
BSU38750-MONOMER	Inner_Membrane	BSU38750(1)	Inner_Membrane	y
BSU13220-MONOMER	Inner_Membrane	BSU13220(1)	Inner_Membrane	y
BSU01580-MONOMER	Inner_Membrane	BSU01580(1)	Inner_Membrane	y
BSU35820-MONOMER	Inner_Membrane	BSU35820(1)	Inner_Membrane	y
BSU39440-MONOMER	Inner_Membrane	BSU39440(1)	Inner_Membrane	y
BSU05190-MONOMER	Inner_Membrane	BSU05190(1)	Inner_Membrane	y
BSU02290-MONOMER	Inner_Membrane	BSU02290(1)	Inner_Membrane	y
BSU24730-MONOMER	Inner_Membrane	BSU24730(1)	Inner_Membrane	y
BSU31340-MONOMER	Inner_Membrane	BSU31340(1)	Inner_Membrane	y
BSU27690-MONOMER	Inner_Membrane	BSU27690(1)	Inner_Membrane	y
BSU09500-MONOMER	Inner_Membrane	BSU09500(1)	Inner_Membrane	y
BSU31321-MONOMER	Inner_Membrane	BSU31321(1)	Inner_Membrane	y
BSU32040-MONOMER	Inner_Membrane	BSU32040(1)	Inner_Membrane	y
BSU19510-MONOMER	Inner_Membrane	BSU19510(1)	Inner_Membrane	y
BSU20190-MONOMER	Inner_Membrane	BSU20190(1)	Inner_Membrane	y
BSU05680-MONOMER	Inner_Membrane	BSU05680(1)	Inner_Membrane	y
BSU12250-MONOMER	Inner_Membrane	BSU12250(1)	Inner_Membrane	y
BSU31875-MONOMER	Inner_Membrane	BSU31875(1)	Inner_Membrane	y
BSU38410-MONOMER	Inner_Membrane	BSU38410(1)	Inner_Membrane	y
BSU19350-MONOMER	Inner_Membrane	BSU19350(1)	Inner_Membrane	y
BSU04860-MONOMER	Inner_Membrane	BSU04860(1)	Inner_Membrane	y
BSU24410-MONOMER	Inner_Membrane	BSU24410(1)	Inner_Membrane	y
BSU31020-MONOMER	Inner_Membrane	BSU31020(1)	Inner_Membrane	y
BSU12100-MONOMER	Inner_Membrane	BSU12100(1)	Inner_Membrane	y
BSU31710-MONOMER	Inner_Membrane	BSU31710(1)	Inner_Membrane	y
BSU15580-MONOMER	Inner_Membrane	BSU15580(1)	Inner_Membrane	y
BSU16300-MONOMER	Inner_Membrane	BSU16300(1)	Inner_Membrane	y
BSU09010-MONOMER	Inner_Membrane	BSU09010(1)	Inner_Membrane	y
BSU34460-MONOMER	Inner_Membrane	BSU34460(1)	Inner_Membrane	y
BSU38800-MONOMER	Inner_Membrane	BSU38800(1)	Inner_Membrane	y
BSU01630-MONOMER	Inner_Membrane	BSU01630(1)	Inner_Membrane	y
BSU08140-MONOMER	Inner_Membrane	BSU08140(1)	Inner_Membrane	y
BSU27070-MONOMER	Inner_Membrane	BSU27070(1)	Inner_Membrane	y
BSU27760-MONOMER	Inner_Membrane	BSU27760(1)	Inner_Membrane	y
BSU15260-MONOMER	Inner_Membrane	BSU15260(1)	Inner_Membrane	y
BSU37940-MONOMER	Inner_Membrane	BSU37940(1)	Inner_Membrane	y
BSU34980-MONOMER	Inner_Membrane	BSU34980(1)	Inner_Membrane	y
BSU23890-MONOMER	Inner_Membrane	BSU23890(1)	Inner_Membrane	y
BSU31230-MONOMER	Inner_Membrane	BSU31230(1)	Inner_Membrane	y
BSU34820-MONOMER	Inner_Membrane	BSU34820(1)	Inner_Membrane	y
BSU00600-MONOMER	Inner_Membrane	BSU00600(1)	Inner_Membrane	y
BSU23050-MONOMER	Inner_Membrane	BSU23050(1)	Inner_Membrane	y
BSU04230-MONOMER	Inner_Membrane	BSU04230(1)	Inner_Membrane	y
BSU23730-MONOMER	Inner_Membrane	BSU23730(1)	Inner_Membrane	y
BSU04910-MONOMER	Inner_Membrane	BSU04910(1)	Inner_Membrane	y
BSU27440-MONOMER	Inner_Membrane	BSU27440(1)	Inner_Membrane	y
BSU11510-MONOMER	Inner_Membrane	BSU11510(1)	Inner_Membrane	y
BSU00230-MONOMER	Inner_Membrane	BSU00230(1)	Inner_Membrane	y
BSU26590-MONOMER	Inner_Membrane	BSU26590(1)	Inner_Membrane	y
BSU33810-MONOMER	Inner_Membrane	BSU33810(1)	Inner_Membrane	y
BSU38150-MONOMER	Inner_Membrane	BSU38150(1)	Inner_Membrane	y
BSU23420-MONOMER	Inner_Membrane	BSU23420(1)	Inner_Membrane	y
BSU04600-MONOMER	Inner_Membrane	BSU04600(1)	Inner_Membrane	y
BSU26410-MONOMER	Inner_Membrane	BSU26410(1)	Inner_Membrane	y
BSU30050-MONOMER	Inner_Membrane	BSU30050(1)	Inner_Membrane	y
BSU07520-MONOMER	Inner_Membrane	BSU07520(1)	Inner_Membrane	y
BSU30750-MONOMER	Inner_Membrane	BSU30750(1)	Inner_Membrane	y
BSU11180-MONOMER	Inner_Membrane	BSU11180(1)	Inner_Membrane	y
BSU15310-MONOMER	Inner_Membrane	BSU15310(1)	Inner_Membrane	y
BSU34350-MONOMER	Inner_Membrane	BSU34350(1)	Inner_Membrane	y
BSU37300-MONOMER	Inner_Membrane	BSU37300(1)	Inner_Membrane	y
BSU37990-MONOMER	Inner_Membrane	BSU37990(1)	Inner_Membrane	y
BSU03788-MONOMER	Inner_Membrane	BSU03788(1)	Inner_Membrane	y
BSU30595-MONOMER	Inner_Membrane	BSU30595(1)	Inner_Membrane	y
BSU33490-MONOMER	Inner_Membrane	BSU33490(1)	Inner_Membrane	y
BSU15150-MONOMER	Inner_Membrane	BSU15150(1)	Inner_Membrane	y
BSU23100-MONOMER	Inner_Membrane	BSU23100(1)	Inner_Membrane	y
BSU04280-MONOMER	Inner_Membrane	BSU04280(1)	Inner_Membrane	y
BSU10870-MONOMER	Inner_Membrane	BSU10870(1)	Inner_Membrane	y
BSU33330-MONOMER	Inner_Membrane	BSU33330(1)	Inner_Membrane	y
BSU30430-MONOMER	Inner_Membrane	BSU30430(1)	Inner_Membrane	y
BSU36980-MONOMER	Inner_Membrane	BSU36980(1)	Inner_Membrane	y
BSU14360-MONOMER	Inner_Membrane	BSU14360(1)	Inner_Membrane	y
BSU18669-MONOMER	Inner_Membrane	BSU18669(1)	Inner_Membrane	y
BSU04120-MONOMER	Inner_Membrane	BSU04120(1)	Inner_Membrane	y
BSU07010-MONOMER	Inner_Membrane	BSU07010(1)	Inner_Membrane	y
BSU07700-MONOMER	Inner_Membrane	BSU07700(1)	Inner_Membrane	y
BSU30270-MONOMER	Inner_Membrane	BSU30270(1)	Inner_Membrane	y
BSU36820-MONOMER	Inner_Membrane	BSU36820(1)	Inner_Membrane	y
BSU11400-MONOMER	Inner_Membrane	BSU11400(1)	Inner_Membrane	y
BSU37510-MONOMER	Inner_Membrane	BSU37510(2)	Inner_Membrane	y
BSU21340-MONOMER	Inner_Membrane	BSU21340(1)	Inner_Membrane	y
BSU03981-MONOMER	Inner_Membrane	BSU03981(2)	Inner_Membrane	y
BSU07570-MONOMER	Inner_Membrane	BSU07570(1)	Inner_Membrane	y
BSU33700-MONOMER	Inner_Membrane	BSU33700(1)	Inner_Membrane	y
BSU25590-MONOMER	Inner_Membrane	BSU25590(1)	Inner_Membrane	y
BSU06710-MONOMER	Inner_Membrane	BSU06710(1)	Inner_Membrane	y
BSU07400-MONOMER	Inner_Membrane	BSU07400(1)	Inner_Membrane	y
BSU11080-MONOMER	Inner_Membrane	BSU11080(1)	Inner_Membrane	y
BSU36500-MONOMER	Inner_Membrane	BSU36500(1)	Inner_Membrane	y
BSU37190-MONOMER	Inner_Membrane	BSU37190(1)	Inner_Membrane	y
BSU14569-MONOMER	Inner_Membrane	BSU14569(1)	Inner_Membrane	y
BSU40140-MONOMER	Inner_Membrane	BSU40140(1)	Inner_Membrane	y
BSU03000-MONOMER	Inner_Membrane	BSU03000(1)	Inner_Membrane	y
BSU29100-MONOMER	Inner_Membrane	BSU29100(1)	Inner_Membrane	y
BSU06559-MONOMER	Inner_Membrane	BSU06559(1)	Inner_Membrane	y
BSU33380-MONOMER	Inner_Membrane	BSU33380(1)	Inner_Membrane	y
BSU32730-MONOMER	Inner_Membrane	BSU32730(1)	Inner_Membrane	y
BSU14410-MONOMER	Inner_Membrane	BSU14410(1)	Inner_Membrane	y
BSU29610-MONOMER	Inner_Membrane	BSU29610(1)	Inner_Membrane	y
BSU06400-MONOMER	Inner_Membrane	BSU06400(1)	Inner_Membrane	y
BSU10760-MONOMER	Inner_Membrane	BSU10760(1)	Inner_Membrane	y
BSU32590-MONOMER	Inner_Membrane	BSU32590(1)	Inner_Membrane	y
BSU36870-MONOMER	Inner_Membrane	BSU36870(1)	Inner_Membrane	y
BSU40490-MONOMER	Inner_Membrane	BSU40490(1)	Inner_Membrane	y
BSU03360-MONOMER	Inner_Membrane	BSU03360(1)	Inner_Membrane	y
BSU32440-MONOMER	Inner_Membrane	BSU32440(1)	Inner_Membrane	y
BSU36030-MONOMER	Inner_Membrane	BSU36030(1)	Inner_Membrane	y
BSU13460-MONOMER	Inner_Membrane	BSU13460(1)	Inner_Membrane	y
BSU40330-MONOMER	Inner_Membrane	BSU40330(1)	Inner_Membrane	y
BSU24970-MONOMER	Inner_Membrane	BSU24970(1)	Inner_Membrane	y
BSU13300-MONOMER	Inner_Membrane	BSU13300(1)	Inner_Membrane	y
BSU35900-MONOMER	Inner_Membrane	BSU35900(1)	Inner_Membrane	y
