Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
BSU36550-MONOMER	Inner_Membrane	BSU36550(1)	Inner_Membrane	y
BSU13950-MONOMER	Inner_Membrane	BSU13950(1)	Inner_Membrane	y
BSU17580-MONOMER	Inner_Membrane	BSU17580(1)	Inner_Membrane	y
BSU09590-MONOMER	Inner_Membrane	BSU09590(1)	Inner_Membrane	y
BSU32120-MONOMER	Inner_Membrane	BSU32120(1)	Inner_Membrane	y
BSU29150-MONOMER	Inner_Membrane	BSU29150(1)	Inner_Membrane	y
BSU16700-MONOMER	Inner_Membrane	BSU16700(1)	Inner_Membrane	y
BSU02210-MONOMER	Inner_Membrane	BSU02210(1)	Inner_Membrane	y
BSU05760-MONOMER	Inner_Membrane	BSU05760(1)	Inner_Membrane	y
BSU25330-MONOMER	Inner_Membrane	BSU25330(1)	Inner_Membrane	y
BSU16540-MONOMER	Inner_Membrane	BSU16540(1)	Inner_Membrane	y
BSU35570-MONOMER	Inner_Membrane	BSU35570(1)	Inner_Membrane	y
BSU10110-MONOMER	Inner_Membrane	BSU10110(1)	Inner_Membrane	y
BSU13660-MONOMER	Inner_Membrane	BSU13660(1)	Inner_Membrane	y
BSU24490-MONOMER	Inner_Membrane	BSU24490(1)	Inner_Membrane	y
BSU17270-MONOMER	Inner_Membrane	BSU17270(1)	Inner_Membrane	y
BSU02730-MONOMER	Inner_Membrane	BSU02730(1)	Inner_Membrane	y
BSU12830-MONOMER	Inner_Membrane	BSU12830(1)	Inner_Membrane	y
BSU16380-MONOMER	Inner_Membrane	BSU16380(1)	Inner_Membrane	y
BSU09958-MONOMER	Inner_Membrane	BSU09958(1)	Inner_Membrane	y
BSU05450-MONOMER	Inner_Membrane	BSU05450(1)	Inner_Membrane	y
BSU09090-MONOMER	Inner_Membrane	BSU09090(1)	Inner_Membrane	y
BSU02580-MONOMER	Inner_Membrane	BSU02580(1)	Inner_Membrane	y
BSU31630-MONOMER	Inner_Membrane	BSU31630(1)	Inner_Membrane	y
BSU35260-MONOMER	Inner_Membrane	BSU35260(1)	Inner_Membrane	y
BSU35950-MONOMER	Inner_Membrane	BSU35950(1)	Inner_Membrane	y
BSU02420-MONOMER	Inner_Membrane	BSU02420(1)	Inner_Membrane	y
BSU09640-MONOMER	Inner_Membrane	BSU09640(1)	Inner_Membrane	y
BSU35090-MONOMER	Inner_Membrane	BSU35090(1)	Inner_Membrane	y
BSU19650-MONOMER	Inner_Membrane	BSU19650(1)	Inner_Membrane	y
BSU05160-MONOMER	Inner_Membrane	BSU05160(1)	Inner_Membrane	y
BSU39410-MONOMER	Inner_Membrane	BSU39410(1)	Inner_Membrane	y
BSU24700-MONOMER	Inner_Membrane	BSU24700(1)	Inner_Membrane	y
BSU31300-MONOMER	Inner_Membrane	BSU31300(1)	Inner_Membrane	y
BSU09470-MONOMER	Inner_Membrane	BSU09470(1)	Inner_Membrane	y
BSU38530-MONOMER	Inner_Membrane	BSU38530(1)	Inner_Membrane	y
BSU35630-MONOMER	Inner_Membrane	BSU35630(1)	Inner_Membrane	y
BSU08600-MONOMER	Inner_Membrane	BSU08600(1)	Inner_Membrane	y
BSU24540-MONOMER	Inner_Membrane	BSU24540(1)	Inner_Membrane	y
BSU05650-MONOMER	Inner_Membrane	BSU05650(1)	Inner_Membrane	y
BSU31150-MONOMER	Inner_Membrane	BSU31150(1)	Inner_Membrane	y
BSU12880-MONOMER	Inner_Membrane	BSU12880(1)	Inner_Membrane	y
BSU16430-MONOMER	Inner_Membrane	BSU16430(1)	Inner_Membrane	y
BSU19320-MONOMER	Inner_Membrane	BSU19320(1)	Inner_Membrane	y
BSU39100-MONOMER	Inner_Membrane	BSU39100(1)	Inner_Membrane	y
BSU20000-MONOMER	Inner_Membrane	BSU20000(1)	Inner_Membrane	y
BSU01935-MONOMER	Inner_Membrane	BSU01935(1)	Inner_Membrane	y
BSU08440-MONOMER	Inner_Membrane	BSU08440(1)	Inner_Membrane	y
BSU24380-MONOMER	Inner_Membrane	BSU24380(1)	Inner_Membrane	y
BSU05500-MONOMER	Inner_Membrane	BSU05500(1)	Inner_Membrane	y
BSU30990-MONOMER	Inner_Membrane	BSU30990(1)	Inner_Membrane	y
BSU12070-MONOMER	Inner_Membrane	BSU12070(1)	Inner_Membrane	y
BSU34590-MONOMER	Inner_Membrane	BSU34590(1)	Inner_Membrane	y
CPLX8J2-108	Inner_Membrane	BSU03710(1)	Inner_Membrane	y
CPLX8J2-108	Inner_Membrane	BSU03720(1)	Inner_Membrane	y
CPLX8J2-108	Inner_Membrane	BSU03700(1)	Inner_Membrane	y
CPLX8J2-83	Inner_Membrane	BSU24360(1)	Inner_Membrane	y
CPLX8J2-68	Inner_Membrane	BSU27430(1)	Inner_Membrane	y
CPLX8J2-68	Inner_Membrane	BSU27440(1)	Inner_Membrane	y
CPLX8J2-68	Inner_Membrane	BSU27450(1)	Inner_Membrane	y
CPLX8J2-68	Inner_Membrane	BSU27460(1)	Inner_Membrane	y
BSU38930-MONOMER	Inner_Membrane	BSU38930(1)	Inner_Membrane	y
CPLX8J2-37	Inner_Membrane	BSU09720(1)	Inner_Membrane	y
CPLX8J2-37	Inner_Membrane	BSU09710(1)	Inner_Membrane	y
BSU01760-MONOMER	Inner_Membrane	BSU01760(1)	Inner_Membrane	y
BSU27200-MONOMER	Inner_Membrane	BSU27200(1)	Inner_Membrane	y
BSU05360-MONOMER	Inner_Membrane	BSU05360(1)	Inner_Membrane	y
CPLX8J2-65	Inner_Membrane	BSU33700(1)	Inner_Membrane	y
CPLX8J2-65	Inner_Membrane	BSU33710(1)	Inner_Membrane	y
CPLX8J2-65	Inner_Membrane	BSU33720(1)	Inner_Membrane	y
CPLX8J2-65	Inner_Membrane	BSU33730(1)	Inner_Membrane	y
CPLX8J2-49	Inner_Membrane	BSU23100(1)	Inner_Membrane	y
CPLX8J2-49	Inner_Membrane	BSU14540(1)	Inner_Membrane	y
CPLX8J2-49	Inner_Membrane	BSU15690(1)	Inner_Membrane	y
CPLX8J2-49	Inner_Membrane	BSU37160(1)	Inner_Membrane	y
CPLX8J2-49	Inner_Membrane	BSU01430(1)	Inner_Membrane	y
CPLX8J2-49	Inner_Membrane	BSU01080(1)	Inner_Membrane	y
CPLX8J2-49	Inner_Membrane	BSU01070(1)	Inner_Membrane	y
BSU31520-MONOMER	Inner_Membrane	BSU31520(1)	Inner_Membrane	y
CPLX8J2-165	Inner_Membrane	BSU31100(1)	Inner_Membrane	y
CPLX8J2-165	Inner_Membrane	BSU31090(1)	Inner_Membrane	y
CPLX8J2-140	Inner_Membrane	BSU31100(1)	Inner_Membrane	y
CPLX8J2-102	Inner_Membrane	BSU38750(1)	Inner_Membrane	y
CPLX8J2-102	Inner_Membrane	BSU38760(1)	Inner_Membrane	y
CPLX8J2-92	Inner_Membrane	BSU06990(1)	Inner_Membrane	y
CPLX8J2-92	Inner_Membrane	BSU06980(1)	Inner_Membrane	y
CPLX8J2-92	Inner_Membrane	BSU06970(1)	Inner_Membrane	y
BSU38770-MONOMER	Inner_Membrane	BSU38770(1)	Inner_Membrane	y
BSU27040-MONOMER	Inner_Membrane	BSU27040(1)	Inner_Membrane	y
CPLX8J2-133	Inner_Membrane	BSU24870(1)	Inner_Membrane	y
CPLX8J2-117	Inner_Membrane	BSU27040(1)	Inner_Membrane	y
CPLX8J2-117	Inner_Membrane	BSU27050(1)	Inner_Membrane	y
CPLX8J2-117	Inner_Membrane	BSU27060(1)	Inner_Membrane	y
CPLX8J2-117	Inner_Membrane	BSU27070(1)	Inner_Membrane	y
BSU08830-MONOMER	Inner_Membrane	BSU08830(1)	Inner_Membrane	y
BSU11790-MONOMER	Inner_Membrane	BSU11790(1)	Inner_Membrane	y
CPLX8J2-75	Inner_Membrane	BSU07490(1)	Inner_Membrane	y
CPLX8J2-75	Inner_Membrane	BSU07500(1)	Inner_Membrane	y
CPLX8J2-75	Inner_Membrane	BSU07510(1)	Inner_Membrane	y
CPLX8J2-75	Inner_Membrane	BSU07520(1)	Inner_Membrane	y
CPLX8J2-43	Inner_Membrane	BSU38140(1)	Inner_Membrane	y
CPLX8J2-43	Inner_Membrane	BSU38150(1)	Inner_Membrane	y
CPLX8J2-43	Inner_Membrane	BSU38160(1)	Inner_Membrane	y
CPLX8J2-43	Inner_Membrane	BSU38170(1)	Inner_Membrane	y
BSU34265-MONOMER	Inner_Membrane	BSU34265(1)	Inner_Membrane	y
CPLX8J2-159	Inner_Membrane	BSU08330(1)	Inner_Membrane	y
CPLX8J2-159	Inner_Membrane	BSU08320(1)	Inner_Membrane	y
CPLX8J2-159	Inner_Membrane	BSU08310(1)	Inner_Membrane	y
CPLX8J2-130	Inner_Membrane	BSU14370(1)	Inner_Membrane	y
CPLX8J2-130	Inner_Membrane	BSU14360(1)	Inner_Membrane	y
CPLX8J2-130	Inner_Membrane	BSU14350(1)	Inner_Membrane	y
CPLX8J2-130	Inner_Membrane	BSU14340(1)	Inner_Membrane	y
CPLX8J2-72	Inner_Membrane	BSU11430(1)	Inner_Membrane	y
CPLX8J2-72	Inner_Membrane	BSU11440(1)	Inner_Membrane	y
CPLX8J2-72	Inner_Membrane	BSU11450(1)	Inner_Membrane	y
CPLX8J2-72	Inner_Membrane	BSU11460(1)	Inner_Membrane	y
CPLX8J2-72	Inner_Membrane	BSU11470(1)	Inner_Membrane	y
BSU23180-MONOMER	Inner_Membrane	BSU23180(1)	Inner_Membrane	y
BSU38580-MONOMER	Inner_Membrane	BSU38580(1)	Inner_Membrane	y
CPLX8J2-25	Inner_Membrane	BSU36850(1)	Inner_Membrane	y
CPLX8J2-25	Inner_Membrane	BSU36860(1)	Inner_Membrane	y
CPLX8J2-25	Inner_Membrane	BSU36870(1)	Inner_Membrane	y
BSU04360-MONOMER	Inner_Membrane	BSU04360(1)	Inner_Membrane	y
CPLX8J2-127	Inner_Membrane	BSU29530(1)	Inner_Membrane	y
BSU30510-MONOMER	Inner_Membrane	BSU30510(1)	Inner_Membrane	y
CPLX8J2-84	Inner_Membrane	BSU36550(1)	Inner_Membrane	y
CPLX8J2-22	Inner_Membrane	BSU14890(1)	Inner_Membrane	y
CPLX8J2-22	Inner_Membrane	BSU14900(1)	Inner_Membrane	y
CPLX8J2-22	Inner_Membrane	BSU14910(1)	Inner_Membrane	y
CPLX8J2-22	Inner_Membrane	BSU14920(1)	Inner_Membrane	y
CPLX8J2-169	Inner_Membrane	BSU13210(1)	Inner_Membrane	y
CPLX8J2-169	Inner_Membrane	BSU13220(1)	Inner_Membrane	y
CPLX8J2-169	Inner_Membrane	BSU13230(1)	Inner_Membrane	y
BSU37750-MONOMER	Inner_Membrane	BSU37750(1)	Inner_Membrane	y
BSU18730-MONOMER	Inner_Membrane	BSU18730(1)	Inner_Membrane	y
BSU00570-MONOMER	Inner_Membrane	BSU00570(1)	Inner_Membrane	y
CPLX8J2-81	Inner_Membrane	BSU30370(1)	Inner_Membrane	y
CPLX8J2-81	Inner_Membrane	BSU30380(1)	Inner_Membrane	y
CPLX8J2-66	Inner_Membrane	BSU30740(1)	Inner_Membrane	y
CPLX8J2-66	Inner_Membrane	BSU30750(1)	Inner_Membrane	y
CPLX8J2-66	Inner_Membrane	BSU30760(1)	Inner_Membrane	y
CPLX8J2-66	Inner_Membrane	BSU30770(1)	Inner_Membrane	y
BSU23010-MONOMER	Inner_Membrane	BSU23010(1)	Inner_Membrane	y
CPLX8J2-2	Inner_Membrane	BSU37250(1)	Inner_Membrane	y
CPLX8J2-2	Inner_Membrane	BSU37270(1)	Inner_Membrane	y
CPLX8J2-2	Inner_Membrane	BSU37280(1)	Inner_Membrane	y
BSU07790-MONOMER	Inner_Membrane	BSU07790(1)	Inner_Membrane	y
CPLX8J2-166	Inner_Membrane	BSU31090(1)	Inner_Membrane	y
CPLX8J2-141	Inner_Membrane	BSU38270(1)	Inner_Membrane	y
CPLX8J2-141	Inner_Membrane	BSU38280(1)	Inner_Membrane	y
BSU26710-MONOMER	Inner_Membrane	BSU26710(1)	Inner_Membrane	y
CPLX8J2-120	Inner_Membrane	BSU05830(1)	Inner_Membrane	y
CPLX8J2-120	Inner_Membrane	BSU05820(1)	Inner_Membrane	y
CPLX8J2-120	Inner_Membrane	BSU05810(1)	Inner_Membrane	y
BSU30350-MONOMER	Inner_Membrane	BSU30350(1)	Inner_Membrane	y
CPLX8J2-93	Inner_Membrane	BSU33800(1)	Inner_Membrane	y
CPLX8J2-93	Inner_Membrane	BSU33810(1)	Inner_Membrane	y
CPLX8J2-93	Inner_Membrane	BSU33820(1)	Inner_Membrane	y
CPLX8J2-93	Inner_Membrane	BSU33830(1)	Inner_Membrane	y
BSU11480-MONOMER	Inner_Membrane	BSU11480(1)	Inner_Membrane	y
CPLX8J2-61	Inner_Membrane	BSU15320(1)	Inner_Membrane	y
CPLX8J2-61	Inner_Membrane	BSU14540(1)	Inner_Membrane	y
CPLX8J2-61	Inner_Membrane	BSU15690(1)	Inner_Membrane	y
CPLX8J2-61	Inner_Membrane	BSU37160(1)	Inner_Membrane	y
CPLX8J2-61	Inner_Membrane	BSU01430(1)	Inner_Membrane	y
CPLX8J2-61	Inner_Membrane	BSU01080(1)	Inner_Membrane	y
CPLX8J2-61	Inner_Membrane	BSU01070(1)	Inner_Membrane	y
BSU14920-MONOMER	Inner_Membrane	BSU14920(1)	Inner_Membrane	y
BSU18590-MONOMER	Inner_Membrane	BSU18590(1)	Inner_Membrane	y
BSU38270-MONOMER	Inner_Membrane	BSU38270(1)	Inner_Membrane	y
BSU22860-MONOMER	Inner_Membrane	BSU22860(1)	Inner_Membrane	y
CPLX8J2-76	Inner_Membrane	BSU02980(2)	Inner_Membrane	y
CPLX8J2-76	Inner_Membrane	BSU02990(2)	Inner_Membrane	y
CPLX8J2-76	Inner_Membrane	BSU03000(1)	Inner_Membrane	y
CPLX8J2-113	Inner_Membrane	BSU01610(1)	Inner_Membrane	y
CPLX8J2-113	Inner_Membrane	BSU01620(1)	Inner_Membrane	y
CPLX8J2-113	Inner_Membrane	BSU01630(1)	Inner_Membrane	y
BSU08320-MONOMER	Inner_Membrane	BSU08320(1)	Inner_Membrane	y
BSU14760-MONOMER	Inner_Membrane	BSU14760(1)	Inner_Membrane	y
CPLX8J2-73	Inner_Membrane	BSU11360(1)	Inner_Membrane	y
CPLX8J2-73	Inner_Membrane	BSU11370(1)	Inner_Membrane	y
CPLX8J2-73	Inner_Membrane	BSU11390(1)	Inner_Membrane	y
