Modified_enzyme	Core_enzyme	Modifications	Source
BSU36060-MONOMER_mod_mn2	BSU36060-MONOMER	mn2()	M_protein_recon
BSU35840-MONOMER_mod_mg2	BSU35840-MONOMER	mg2()	M_protein_recon
BSU23260-MONOMER_mod_mn2	BSU23260-MONOMER	mn2()	M_protein_recon
BSU08910-MONOMER_mod_4fe4s_mod_cbl1	BSU08910-MONOMER	4fe4s() AND cbl1()	M_protein_recon
BSU30800-MONOMER_mod_hco3	BSU30800-MONOMER	hco3()	M_protein_recon
BSU31120-MONOMER_mod_mg2	BSU31120-MONOMER	mg2()	M_protein_recon
CPLX8J2-105_mod_2fe2s_mod_fmn_mod_fad	CPLX8J2-105	2fe2s() AND fmn() AND fad()	M_protein_recon
CPLX-9195_mod_tbpt	CPLX-9195	tbpt()	M_protein_recon
BSU14520-MONOMER_mod_mn2	BSU14520-MONOMER	mn2()	M_protein_recon
BSU18670-MONOMER_mod_mn2	BSU18670-MONOMER	mn2()	M_protein_recon
BSU30220-MONOMER_mod_pydx5p	BSU30220-MONOMER	pydx5p()	M_protein_recon
CPLX-8225_mod_mn2	CPLX-8225	mn2()	M_protein_recon
BSU35520-MONOMER_mod_mg2	BSU35520-MONOMER	mg2()	M_protein_recon
BSU10140-MONOMER_mod_fad	BSU10140-MONOMER	fad()	M_protein_recon
CPLX8J2-180_mod_4fe4s_mod_pydx5p	CPLX8J2-180	4fe4s() AND pydx5p()	M_protein_recon
BSU11870-MONOMER_mod_pydx5p	BSU11870-MONOMER	pydx5p()	M_protein_recon
CPLX8J2-184_mod_mg2	CPLX8J2-184	mg2()	M_protein_recon
BSU39680-MONOMER_mod_mn2	BSU39680-MONOMER	mn2()	M_protein_recon
BSU30630-MONOMER_mod_mg2	BSU30630-MONOMER	mg2()	M_protein_recon
BSU36240-MONOMER_mod_mn2	BSU36240-MONOMER	mn2()	M_protein_recon
BSU09190-MONOMER_mod_ca2	BSU09190-MONOMER	ca2()	M_protein_recon
CPLX8J2-179_mod_fad	CPLX8J2-179	fad()	M_protein_recon
CPLX-8352_mod_fad	CPLX-8352	fad()	M_protein_recon
CPLX-8351_mod_mg2	CPLX-8351	mg2()	M_protein_recon
CPLX8J2-96_mod_zn2	CPLX8J2-96	zn2()	M_protein_recon
BSU04040-MONOMER_mod_mg2	BSU04040-MONOMER	mg2()	M_protein_recon
BSU32520-MONOMER_mod_pydx5p	BSU32520-MONOMER	pydx5p()	M_protein_recon
BSU35650-MONOMER_mod_mg2	BSU35650-MONOMER	mg2()	M_protein_recon
BSU32290-MONOMER_mod_mg2	BSU32290-MONOMER	mg2()	M_protein_recon
CPLX8J2-194_mod_cu2	CPLX8J2-194	cu2()	M_protein_recon
BSU07560-MONOMER_mod_ca2	BSU07560-MONOMER	ca2()	M_protein_recon
CPLX8J2-43_mod_heme	CPLX8J2-43	heme()	M_protein_recon
