,m,me
biomass,,e
b0007,0,0
b0002,0,0
b0019,0,0
b0009,e,0
b0008,0,0
b0030,0,0
b0032,0,0
b0036,0,0
b0033,0,0
b0037,0,0
b0040,0,0
b0038,0,0
b0047,0,0
b0048,0,0
b0049,0,0
b0026,0,e
b0004,e,e
b0003,e,e
b0023,,e
b0015,,e
b0029,e,e
b0025,e,e
b0014,,e
b0027,,e
b0061,0,0
b0066,0,0
b0062,0,0
b0063,0,0
b0067,0,0
b0031,e,e
b0068,0,0
b0070,0,0
b0078,0,0
b0077,0,0
b0082,,0
b0084,0,0
b0051,,e
b0052,e,e
b0053,,e
b0092,0,0
b0099,0,0
b0058,,e
b0073,e,e
b0071,e,e
b0072,e,e
b0104,0,0
b0086,e,e
b0085,e,e
b0087,e,e
b0074,e,e
b0088,e,e
b0110,0,0
b0112,0,0
b0091,e,e
b0114,-,0
b0090,e,e
b0115,-,0
b0096,e,e
b0116,-,-
b0118,0,0
b0121,0,0
b0120,0,0
b0123,0,0
b0124,0,0
b0125,0,0
b0126,0,0
b0098,,e
b0149,0,0
b0151,0,0
b0150,0,0
b0152,0,0
b0153,0,0
b0155,0,0
b0156,,0
b0103,e,e
b0158,0,0
b0160,0,0
b0109,e,e
b0171,0,0
b0142,e,e
b0154,e,e
b0133,e,e
b0134,e,e
b0131,e,e
b0159,e,e
b0168,,e
b0170,,e
b0169,,e
b0174,e,e
b0172,,e
b0166,e,e
b0186,0,0
b0173,e,e
b0197,0,0
b0198,0,0
b0179,e,e
b0199,0,0
b0177,,e
b0180,e,e
b0175,e,e
b0200,0,0
b0212,0,0
b0207,0,0
b0221,-,-
b0181,e,e
b0182,e,e
b0222,0,0
b0237,0,0
b0238,0,0
b0241,0,0
b0185,e,e
b0243,0,-
b0260,0,0
b0261,0,0
b0242,0,-
b0306,0,0
b0273,0,0
b0307,0,0
b0308,0,0
b0312,0,0
b0311,0,0
b0314,0,0
b0323,0,0
b0331,0,0
b0194,0,e
b0333,0,0
b0188,,e
b0339,0,0
b0336,0,0
b0334,0,0
b0337,0,0
b0340,0,0
b0341,0,0
b0343,0,0
b0344,0,0
b0347,0,0
b0348,0,0
b0350,0,0
b0349,0,0
b0352,0,0
b0351,0,0
b0353,0,0
b0355,0,0
b0356,0,0
b0367,0,0
b0365,0,0
b0366,0,0
b0368,0,0
b0381,0,0
b0383,0,0
b0388,0,0
b0394,0,0
b0401,0,0
