,id,name,reaction,lower_bound,upper_bound,flux
0,EX_5mtr_e,,5mtr_e --> ,0.0,1000.0,0.00019284398073409024
1,EX_ac_e,,ac_e --> ,0.0,1000.0,0.5125135276497855
2,EX_cd2_e,,cd2_e --> ,0.0,1000.0,3.5111503953757985e-29
3,EX_co2_e,,co2_e <=> ,-1000.0,1000.0,19.531118488094837
4,EX_cobalt2_e,,cobalt2_e <=> ,-1000.0,1000.0,-0.00011577786948638801
5,EX_cu2_e,,cu2_e <=> ,-1000.0,1000.0,-2.713789962735265e-06
6,EX_fe2_e,,fe2_e <=> ,-1000.0,1000.0,-0.0005803115282268812
7,EX_glc__D_e,,glc__D_e <=> ,-1000.0,1000.0,-9.793573159259763
8,EX_h_e,,h_e <=> ,-1000.0,1000.0,8.716735802025058
9,EX_h2o_e,,h2o_e <=> ,-1000.0,1000.0,43.101832239292875
10,EX_k_e,,k_e <=> ,-1000.0,1000.0,-4.465606055391696e-05
11,EX_meoh_e,,meoh_e --> ,0.0,1000.0,5.583694888116536e-07
12,EX_mg2_e,,mg2_e <=> ,-1000.0,1000.0,-0.01628668538906653
13,EX_mn2_e,,mn2_e <=> ,-1000.0,1000.0,-5.39953822432907e-05
14,EX_nh4_e,,nh4_e <=> ,-1000.0,1000.0,-9.512631919486996
15,EX_o2_e,,o2_e <=> ,-1000.0,1000.0,-17.368355267210617
16,EX_pi_e,,pi_e <=> ,-1000.0,1000.0,-0.7870542599635819
17,EX_so4_e,,so4_e <=> ,-1000.0,1000.0,-0.1970157576563822
18,EX_zn2_e,,zn2_e <=> ,-1000.0,1000.0,-7.722282014428846e-05
19,EX_LI_c,,LI_c <=> ,-1000.0,1000.0,-1.5059725617967858e-09
20,EX_RNase_m5,,RNase_m5 <=> ,-1000.0,1000.0,-3.4577281164270638e-09
21,EX_RNase_m16,,RNase_m16 <=> ,-1000.0,1000.0,-3.4577281164270638e-09
22,EX_RNase_m23,,RNase_m23 <=> ,-1000.0,1000.0,-3.4577281164270638e-09
