,flux
3AMPt6_REV_CPLX_dummy_s,0.0
3CMPt6_FWD_CPLX_dummy,0.0
3CMPt6_FWD_CPLX_dummy_s,0.0
3CMPt6_REV_CPLX_dummy,0.0
3CMPt6_REV_CPLX_dummy_s,1.9170647859656e-05
3FE4St,0.0
3FE4St_s,0.0
3GMPt6_FWD_CPLX_dummy,0.0
3GMPt6_FWD_CPLX_dummy_s,0.0
3GMPt6_REV_CPLX_dummy,0.0
3GMPt6_REV_CPLX_dummy_s,0.0
3NUCLE1_FWD_BSU07840-MONOMER,0.0
3NUCLE1_FWD_BSU07840-MONOMER_s,0.0
3NUCLE1_REV_BSU07840-MONOMER,0.0
3NUCLE1_REV_BSU07840-MONOMER_s,0.0
3NUCLE2_FWD_BSU07840-MONOMER,0.0
3NUCLE2_FWD_BSU07840-MONOMER_s,0.0
3NUCLE2_REV_BSU07840-MONOMER,0.0
3NUCLE2_REV_BSU07840-MONOMER_s,0.0
3NUCLE3_FWD_BSU07840-MONOMER,1.9170647859656e-05
3NUCLE3_FWD_BSU07840-MONOMER_s,0.0
3NUCLE3_REV_BSU07840-MONOMER,0.0
3NUCLE3_REV_BSU07840-MONOMER_s,1.9170647859656e-05
3NUCLE4_FWD_BSU07840-MONOMER,0.0
3NUCLE4_FWD_BSU07840-MONOMER_s,0.0
3NUCLE4_REV_BSU07840-MONOMER,0.0
3NUCLE4_REV_BSU07840-MONOMER_s,0.0
3PGt6_FWD_CPLX_dummy,0.0
3PGt6_FWD_CPLX_dummy_s,0.678127833575905
3PGt6_REV_CPLX_dummy,0.0
3PGt6_REV_CPLX_dummy_s,0.0
3UMPt6_FWD_CPLX_dummy,0.0
3UMPt6_FWD_CPLX_dummy_s,0.0
3UMPt6_REV_CPLX_dummy,0.0
3UMPt6_REV_CPLX_dummy_s,0.0
4FE4St,1.1911466263777549e-07
4FE4St_s,2.2444063267562983e-08
5MTRt2_FWD_CPLX_dummy,0.0
5MTRt2_FWD_CPLX_dummy_s,0.0
5MTRt2_REV_CPLX_dummy,0.0
5MTRt2_REV_CPLX_dummy_s,0.0
6PGCt6_FWD_CPLX_dummy,0.0
6PGCt6_FWD_CPLX_dummy_s,0.0
6PGCt6_REV_CPLX_dummy,0.0
6PGCt6_REV_CPLX_dummy_s,0.0
AAMYL_1_FWD_BSU03040-MONOMER,0.0
AAMYL_1_FWD_BSU03040-MONOMER_s,0.0
AB6PGH_FWD_BSU38560-MONOMER,0.0
AB6PGH_FWD_BSU38560-MONOMER_s,0.0
AB6PGH_FWD_BSU40110-MONOMER,0.0
AB6PGH_FWD_BSU40110-MONOMER_s,0.0
ABTA_FWD_BSU03900-MONOMER,0.0
ABTA_FWD_BSU03900-MONOMER_s,0.0
ABTA_REV_BSU03900-MONOMER,0.0
ABTA_REV_BSU03900-MONOMER_s,0.0
ABTt_1_FWD_SPONT,0.0
ABTt_1_FWD_SPONT_s,0.0
ABTt_1_REV_SPONT,0.0
ABTt_1_REV_SPONT_s,0.0
ABUTD_FWD_BSU19310-MONOMER,0.0
ABUTD_FWD_BSU19310-MONOMER_s,0.0
ABUTD_FWD_BSU38830-MONOMER,0.0
ABUTD_FWD_BSU38830-MONOMER_s,0.0
ABUTD_FWD_BSU39860-MONOMER,0.0
ABUTD_FWD_BSU39860-MONOMER_s,0.0
ABUTt2r_FWD_BSU06310-MONOMER,0.0
ABUTt2r_FWD_BSU06310-MONOMER_s,0.0
ACACT1r_FWD_BSU24170-MONOMER,10.98922978843155
ACACT1r_FWD_BSU24170-MONOMER_s,0.0
ACACT1r_REV_BSU24170-MONOMER,0.0
ACACT1r_REV_BSU24170-MONOMER_s,10.986710128307461
ACACT2r_FWD_BSU32830-MONOMER,0.0
ACACT2r_FWD_BSU32830-MONOMER_s,0.0025196601240871797
ACACT2r_REV_BSU32830-MONOMER,0.0
ACACT2r_REV_BSU32830-MONOMER_s,0.0
ACACT3r_FWD_BSU32830-MONOMER,0.0
ACACT3r_FWD_BSU32830-MONOMER_s,0.0025196601240871797
ACACT3r_REV_BSU32830-MONOMER,0.0
ACACT3r_REV_BSU32830-MONOMER_s,0.0
ACACT4r_FWD_BSU32830-MONOMER,0.0
ACACT4r_FWD_BSU32830-MONOMER_s,0.0025196601240871797
ACACT4r_REV_BSU32830-MONOMER,0.0
ACACT4r_REV_BSU32830-MONOMER_s,0.0
ACACT5r_1_FWD_BSU32830-MONOMER,0.0
ACACT5r_1_FWD_BSU32830-MONOMER_s,0.0025196601240871797
ACACT5r_1_REV_BSU32830-MONOMER,0.0
ACACT5r_1_REV_BSU32830-MONOMER_s,0.0
ACACT6r_1_FWD_BSU32830-MONOMER,0.0
ACACT6r_1_FWD_BSU32830-MONOMER_s,0.0025196601240871797
ACACT6r_1_REV_BSU32830-MONOMER,0.0
ACACT6r_1_REV_BSU32830-MONOMER_s,0.0
ACACT7r_FWD_BSU32830-MONOMER,0.0
ACACT7r_FWD_BSU32830-MONOMER_s,0.001938200095451677
ACACT7r_REV_BSU32830-MONOMER,0.0
ACACT7r_REV_BSU32830-MONOMER_s,0.0
ACACt2_FWD_CPLX_dummy,0.0
ACACt2_FWD_CPLX_dummy_s,10.98922978843155
ACACt2_REV_CPLX_dummy,0.0
ACACt2_REV_CPLX_dummy_s,0.0
ACCOAC_FWD_CPLX000-1,0.0
ACCOAC_FWD_CPLX000-1_s,0.09167686451486431
ACGApts_FWD_CPLX000-2,0.0
ACGApts_FWD_CPLX000-2_s,0.0
ACGK_FWD_BSU11210-MONOMER_mod_mg2,0.009766183033859361
ACGK_FWD_BSU11210-MONOMER_mod_mg2_s,0.0
ACGS_FWD_BSU11200-MONOMER,0.0
ACGS_FWD_BSU11200-MONOMER_s,0.0
ACHBS_FWD_BSU36010-MONOMER,0.0124173918988817
ACHBS_FWD_BSU36010-MONOMER_s,0.0193303941341349
ACHBS_FWD_CPLX8J2-23,0.0
ACHBS_FWD_CPLX8J2-23_s,0.0
ACKr_FWD_BSU29470-MONOMER,21.825139381327986
ACKr_FWD_BSU29470-MONOMER_s,0.0
ACKr_REV_BSU29470-MONOMER,0.0
ACKr_REV_BSU29470-MONOMER_s,21.79946059879446
ACLDC_FWD_BSU36000-MONOMER,0.0
ACLDC_FWD_BSU36000-MONOMER_s,0.002934638167983278
ACLS_FWD_BSU36010-MONOMER,0.04830285123226315
ACLS_FWD_BSU36010-MONOMER_s,0.013424216251998359
ACLS_FWD_CPLX8J2-23,0.0
ACLS_FWD_CPLX8J2-23_s,0.0
ACMANAt2_FWD_CPLX_dummy,0.0
