,annotation,model_annotation
BSU06440,adenylosuccinate lyase,"S_Nucleotides_and_nucleic_acids,S_Nucleotides_and_nucleic_acids"
BSU06500,phosphoribosylaminoimidazole synthetase,S_Nucleotides_and_nucleic_acids
BSU06490,glutamine phosphoribosylpyrophosphate amidotransferase,S_Nucleotides_and_nucleic_acids
BSU06530,phosphoribosylglycinamide synthetase,S_Nucleotides_and_nucleic_acids
BSU11870,cystathionine gamma-synthase and O-acetylhomoserine thiolyase,"S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules"
BSU23070,3-phosphoglycerate dehydrogenase,S_Amino_acids_and_related_molecules
BSU11010,"bifunctional homocysteine S-methyltransferase using (R,S)AdoMet and methylenetetrahydrofolate reductase [NAD(P)H]",S_Coenzymes_and_prosthetic_groups
BSU03150,shikimate kinase,S_Amino_acids_and_related_molecules
BSU06360,GMP synthetase,S_Nucleotides_and_nucleic_acids
BSU40550,inorganic pyrophosphatase (Mn2+-dependent),S_Phosphate_and_sulfur
BSU37150,CTP synthetase,"S_Nucleotides_and_nucleic_acids,S_Nucleotides_and_nucleic_acids"
